1,Shiba Inu,2999,1,6,Non-Sporting
2,Cavalier King Charles Spaniel,2999,1,1,Toy
3,Rottweiler,2999,1,2,Working
4,Komondor,2999,1,2,Working
5,Cocker Spaniel,2992,1,2,Working
6,Maltese,2985,1,1,Toy
7,Dachshund (Smooth Haired),2984,1,3,Hound
8,Labrador Retriever,2978,1,2,Working
9,Beagle,2960,1,3,Hound
10,Jack Russell Terrier,2956,1,4,Terrier
11,Italian Greyhound,2954,1,1,Toy
12,Jack Russell Terrier,2954,1,4,Terrier
13,Boxer,2954,1,2,Working
14,Beagle,2917,1,3,Hound
15,Collie,2916,1,2,Working
16,Mastiff,2916,1,2,Working
17,Australian Cattle Dog,2915,1,2,Working
18,Schnauzer,2915,1,4,Terrier
19,Chinese Crested Dog,2914,1,1,Toy
20,Dachshund (Min Smooth Haired),2914,2,3,Hound
21,Miniature Fox Terrier,2914,2,4,Terrier
22,Dachshund (Long Haired),2914,1,3,Hound
23,Dachshund (miniature),2914,1,3,Hound
24,Japanese Spitz,2914,1,6,Non-sporting
25,Greyhound,2914,4,3,Hound
26,Pekingese,2914,2,1,Toy
27,Dalmatian,2914,1,6,Non-Sporting
28,Mastiff,2914,1,2,Working
29,German Shepherd Dog,2914,27,2,Working
30,Chihuahua (Long),2914,2,1,Toy
31,Bull Terrier,2914,5,4,Terrier
32,Corgi (cardigan),2914,1,2,Working
33,Bulldog (american),2914,1,5,Sporting
34,Shar Pei,2914,1,6,Non-Sporting
35,Basset Hound,2914,2,3,Hound
36,Whippet,2914,3,3,Hound
37,Rottweiler,2914,2,2,Working
38,German Spit (Klein),2914,1,2,Working
39,Corgi (pembroke),2914,4,2,Working
40,Australian Terrier,2914,1,4,Terrier
41,Chihuahua (Smooth),2914,3,1,Toy
42,Poodle (Miniature),2914,6,1,Toy
43,Bichon Frise,2914,6,1,Toy
44,Australian Cattle Dog,2914,4,2,Working
45,Cavoodle,2914,2,1,Toy
46,Shetland Sheepdog,2914,7,2,Working
47,Schnauzer (Miniature),2914,2,4,Terrier
48,Papillon,2914,2,1,Toy
49,Schnauzer,2914,4,4,Terrier
50,Australian Stumpy Tail Cattle Dog,2914,1,2,Working
51,Weimaraner,2914,2,2,Working
52,American Pit Bull Terrier,2914,1,4,Terrier
53,Poodle (Toy),2914,10,1,Toy
54,Mini Foxie,2914,1,4,Terrier
55,Labradoodle,2914,7,1,Toy
56,Pug,2914,17,1,Toy
57,Fox Terrier (Smooth),2914,7,4,Terrier
58,Tenterfield,2914,1,4,Terrier
59,Cockapoodle,2914,1,1,Toy
60,Bull Terrier (English),2914,1,4,Terrier
61,West Highland White Terrier,2914,2,4,Terrier
62,Akita,2914,1,2,Working
63,Australian Bulldog,2914,2,7,Mystery
64,Neapolitan Mastiff,2914,1,2,Working
65,Newfoundland,2914,1,2,Working
66,Nova Scotia Duck Tolling Retriever,2914,1,2,Working
67,German Wirehaired Pointer,2914,1,2,Working
68,Collie (Rough),2914,1,2,Working
69,American Staffordshire Terrier,2914,3,4,Terrier
70,Tibetan Spaniel,2914,2,1,Toy
71,Dachshund (Min Long Haired),2914,2,3,Hound
72,Chow Chow,2914,1,6,Non-Sporting
73,Pomeranian,2914,7,1,Toy
74,Keeshond,2914,1,6,Non-sporting
75,Belgian Shepherd Dog (Tervueren),2914,1,2,Working
76,Cavalier King Charles Spaniel,2914,21,1,Toy
77,Cocker Spaniel,2914,17,2,Working
78,Scottish Terrier,2914,1,4,Terrier
79,Dachshund,2914,2,3,Hound
80,Australian Silky Terrier,2914,5,4,Terrier
81,Boxer,2914,5,2,Working
82,Shih Tzu,2914,9,6,Non-Sporting
83,Poodle (Standard),2914,6,1,Toy
84,Labrador Retriever,2914,35,2,Working
85,Alaskan Malamute,2914,2,2,Working
86,Unknown,2914,8,7,Mystery
87,Samoyed,2914,4,2,Working
88,Siberian Husky,2914,9,2,Working
89,Golden Retriever,2914,10,2,Working
90,Border Collie,2914,8,6,Non-sporting
91,Great Dane,2914,1,6,Non-sporting
92,Beagle,2914,22,3,Hound
93,Rhodesian Ridgeback,2914,4,3,Hound
94,Bull Terrier (Staffordshire),2914,11,4,Terrier
95,Jack Russell Terrier,2914,20,4,Terrier
96,Maltese,2914,23,1,Toy
97,Australian Kelpie,2914,6,2,Working
98,Cavalier King Charles Spaniel,2913,53,1,Toy
99,Whippet,2913,3,3,Hound
100,Dalmatian,2913,3,6,Non-Sporting
101,Chihuahua (Smooth),2913,10,1,Toy
102,Great Dane,2913,6,6,Non-sporting
103,Australian Cattle Dog,2913,23,2,Working
104,Scottish Terrier,2913,1,4,Terrier
105,Border Collie,2913,19,6,Non-sporting
106,Corgi (pembroke),2913,5,2,Working
107,Keeshond,2913,3,6,Non-sporting
108,Weimaraner,2913,3,2,Working
109,Boxer,2913,10,2,Working
110,German Spitz (Mittel),2913,1,2,Working
111,Unknown,2913,15,7,Mystery
112,Pomeranian,2913,8,1,Toy
113,Siberian Husky,2913,6,2,Working
114,Pug,2913,19,1,Toy
115,Poodle (Standard),2913,12,1,Toy
116,Mastiff,2913,5,2,Working
117,Basset Hound,2913,4,3,Hound
118,Belgian Shepherd Dog (Groenendael),2913,3,2,Working
119,Australian Silky Terrier,2913,7,4,Terrier
120,Maltese,2913,64,1,Toy
121,Golden Retriever,2913,29,2,Working
122,Fox Terrier (Smooth),2913,18,4,Terrier
123,Australian Kelpie,2913,19,2,Working
124,Bull Terrier (Staffordshire),2913,48,4,Terrier
125,Cocker Spaniel,2913,32,2,Working
126,Beagle,2913,30,3,Hound
127,Tenterfield,2913,3,4,Terrier
128,Labrador Retriever,2913,74,2,Working
129,Shih Tzu,2913,41,6,Non-Sporting
130,Shetland Sheepdog,2913,9,2,Working
131,Poodle (Toy),2913,27,1,Toy
132,Fox Terrier (Wire),2913,2,4,Terrier
133,Maremma Sheepdog,2913,1,2,Working
134,Lhasa Apso,2913,7,6,Non-Sporting
135,Rottweiler,2913,7,2,Working
136,Bull Terrier,2913,6,4,Terrier
137,Jack Russell Terrier,2913,47,4,Terrier
138,Australian Terrier,2913,6,4,Terrier
139,German Shepherd Dog,2913,38,2,Working
140,Rhodesian Ridgeback,2913,5,3,Hound
141,Dachshund (miniature),2913,2,3,Hound
142,Shar Pei,2913,3,6,Non-Sporting
143,Schipperke,2913,1,6,Non-Sporting
144,Welsh Springer Spaniel,2913,2,2,Working
145,Bichon Frise,2913,11,1,Toy
146,Papillon,2913,4,1,Toy
147,St. Bernard,2913,2,6,Non-sporting
148,Alaskan Malamute,2913,4,2,Working
149,Old English Sheepdog,2913,1,2,Working
150,Mini Foxie,2913,3,4,Terrier
151,Chow Chow,2913,1,6,Non-Sporting
152,American Pit Bull Terrier,2913,1,4,Terrier
153,Bullmastiff,2913,4,2,Working
154,Japanese Spitz,2913,7,6,Non-sporting
155,Labradoodle,2913,12,1,Toy
156,English Setter,2913,1,2,Working
157,Samoyed,2913,4,2,Working
158,American Staffordshire Terrier,2913,10,4,Terrier
159,West Highland White Terrier,2913,10,4,Terrier
160,Dobermann,2913,1,2,Working
161,Collie,2913,1,2,Working
162,Elkhound,2913,1,3,Hound
163,Pitbull Terrier,2913,1,4,Terrier
164,Australian Shepherd,2913,2,2,Working
165,Greyhound,2913,2,3,Hound
166,Dachshund (Smooth Haired),2913,1,3,Hound
167,Havanese,2913,2,1,Toy
168,Foxhound,2913,2,3,Hound
169,Newfoundland,2913,1,2,Working
170,Dogue de Bordeaux,2913,1,2,Working
171,Irish Wolfhound,2913,1,3,Hound
172,Schnauzer,2913,4,4,Terrier
173,Bernese Mountain Dog,2913,1,6,Non-sporting
174,Dachshund,2913,2,3,Hound
175,Airedale Terrier,2913,2,4,Terrier
176,Poodle (Miniature),2913,4,1,Toy
177,Schnauzer (Miniature),2913,13,4,Terrier
178,Cairn Terrier,2913,2,4,Terrier
179,Bulldog (French),2913,3,5,Sporting
180,Dachshund (Min Smooth Haired),2913,6,3,Hound
181,Yorkshire Terrier,2913,1,4,Terrier
182,Collie (Rough),2913,1,2,Working
183,Lagotto Romagnolo,2913,1,2,Working
184,Dachshund (Long Haired),2913,2,3,Hound
185,Cavoodle,2913,11,1,Toy
186,Cockapoodle,2913,2,1,Toy
187,Japanese Chin,2913,1,1,Toy
188,Neapolitan Mastiff,2913,1,2,Working
189,Dachshund (Min Long Haired),2913,5,3,Hound
190,Affenpinscher,2913,1,1,Toy
191,Nova Scotia Duck Tolling Retriever,2913,2,2,Working
192,Miniature Fox Terrier,2913,2,4,Terrier
193,Australian Bulldog,2913,4,7,Mystery
194,Chihuahua (Long),2913,3,1,Toy
195,Dachshund (Wire Haired),2913,1,3,Hound
196,Bull Terrier (English),2913,2,4,Terrier
197,Hungarian Vizsla,2913,1,5,Sporting
198,Pharaoh Hound,2913,1,3,Hound
199,King Charles Spaniel,2913,1,1,Toy
200,Cairn Terrier,2912,1,4,Terrier
201,Great Dane,2912,1,6,Non-sporting
202,Cavoodle,2912,1,1,Toy
203,Pomeranian,2912,3,1,Toy
204,Bichon Frise,2912,1,1,Toy
205,German Shepherd Dog,2912,5,2,Working
206,Cavalier King Charles Spaniel,2912,13,1,Toy
207,Rottweiler,2912,1,2,Working
208,Australian Cattle Dog,2912,2,2,Working
209,Japanese Spitz,2912,1,6,Non-sporting
210,Alaskan Malamute,2912,2,2,Working
211,Pitbull Terrier,2912,1,4,Terrier
212,Poodle (Toy),2912,2,1,Toy
213,Weimaraner,2912,2,2,Working
214,Shih Tzu,2912,15,6,Non-Sporting
215,Bull Terrier (Staffordshire),2912,6,4,Terrier
216,Beagle,2912,9,3,Hound
217,Jack Russell Terrier,2912,8,4,Terrier
218,Poodle (Miniature),2912,1,1,Toy
219,West Highland White Terrier,2912,2,4,Terrier
220,Chihuahua (Smooth),2912,4,1,Toy
